Date,Open,High,Low,Close,Adj Close,Volume
2014-10-28,1224.900024,1231.000000,1224.699951,1229.199951,1229.199951,282
2014-10-29,1224.300049,1224.300049,1224.300049,1224.300049,1224.300049,46
2014-10-30,1213.699951,1214.699951,1195.800049,1198.099976,1198.099976,631
2014-10-31,1199.599976,1199.699951,1161.400024,1171.099976,1171.099976,521
2014-11-02,null,null,null,null,null,null
2014-11-03,1166.400024,1172.300049,1163.099976,1169.400024,1169.400024,260
2014-11-04,1166.900024,1171.000000,1165.000000,1167.400024,1167.400024,60
2014-11-05,1168.099976,1168.699951,1137.800049,1145.400024,1145.400024,40
2014-11-06,1141.099976,1147.500000,1137.900024,1142.300049,1142.300049,157
2014-11-07,1139.900024,1169.699951,1133.000000,1169.599976,1169.599976,137
2014-11-09,null,null,null,null,null,null
2014-11-10,1171.000000,1171.000000,1150.699951,1159.599976,1159.599976,97
2014-11-11,1155.000000,1170.500000,1151.599976,1162.800049,1162.800049,40
2014-11-12,1162.500000,1168.099976,1157.500000,1158.900024,1158.900024,22
2014-11-13,1163.699951,1164.500000,1155.000000,1161.099976,1161.099976,17
2014-11-14,1155.199951,1191.000000,1148.000000,1185.000000,1185.000000,1047
2014-11-16,null,null,null,null,null,null
2014-11-17,1183.099976,1186.900024,1180.599976,1183.000000,1183.000000,486
2014-11-18,1197.099976,1197.099976,1193.900024,1196.699951,1196.699951,17
2014-11-19,1196.500000,1198.300049,1190.599976,1193.599976,1193.599976,2
2014-11-20,1191.800049,1191.900024,1190.699951,1190.699951,1190.699951,23
2014-11-21,1191.000000,1202.400024,1189.000000,1197.500000,1197.500000,3
2014-11-23,null,null,null,null,null,null
2014-11-24,1197.699951,1197.900024,1195.500000,1195.500000,1195.500000,20
2014-11-25,1197.099976,1197.099976,1197.099976,1197.099976,1197.099976,17
2014-11-26,1200.500000,1201.000000,1193.699951,1196.599976,1196.599976,210753
2014-11-28,null,null,null,null,null,null
2014-11-30,null,null,null,null,null,null
2014-12-01,1160.000000,1220.400024,1141.699951,1218.000000,1218.000000,11175
2014-12-02,1212.300049,1212.300049,1191.300049,1199.199951,1199.199951,5524
2014-12-03,1198.099976,1213.699951,1196.099976,1208.500000,1208.500000,1236
2014-12-04,1208.199951,1213.000000,1201.599976,1207.500000,1207.500000,440
2014-12-05,1203.099976,1206.000000,1186.699951,1190.099976,1190.099976,358
2014-12-07,null,null,null,null,null,null
2014-12-08,1190.599976,1207.000000,1187.199951,1194.699951,1194.699951,560
2014-12-09,1202.000000,1238.000000,1202.000000,1231.500000,1231.500000,183
2014-12-10,1231.199951,1234.599976,1226.599976,1228.900024,1228.900024,314
2014-12-11,1226.599976,1231.199951,1216.199951,1225.099976,1225.099976,306
2014-12-12,1227.800049,1227.800049,1216.199951,1222.000000,1222.000000,264
2014-12-14,null,null,null,null,null,null
2014-12-15,1223.099976,1223.099976,1198.400024,1207.199951,1207.199951,203
2014-12-16,1197.199951,1222.000000,1192.699951,1193.900024,1193.900024,77
2014-12-17,1198.199951,1199.599976,1184.000000,1194.300049,1194.300049,223
2014-12-18,1189.699951,1207.300049,1189.699951,1194.699951,1194.699951,94
2014-12-19,1198.000000,1200.800049,1195.900024,1195.900024,1195.900024,197
2014-12-21,null,null,null,null,null,null
2014-12-22,1198.000000,1198.000000,1172.699951,1179.699951,1179.699951,96
2014-12-23,1179.300049,1180.300049,1175.000000,1177.900024,1177.900024,223
2014-12-24,null,null,null,null,null,null
2014-12-26,1177.199951,1195.300049,1177.199951,1195.300049,1195.300049,23
2014-12-28,null,null,null,null,null,null
2014-12-29,1186.500000,1186.500000,1181.300049,1181.699951,1181.699951,124
2014-12-30,1181.400024,1210.300049,1181.400024,1200.199951,1200.199951,180
2014-12-31,1199.199951,1199.199951,1182.699951,1183.900024,1183.900024,191
2015-01-02,1184.000000,1194.500000,1169.500000,1186.000000,1186.000000,92
2015-01-04,null,null,null,null,null,null
2015-01-05,1180.300049,1206.900024,1180.099976,1203.900024,1203.900024,138
2015-01-06,1203.500000,1220.000000,1203.500000,1219.300049,1219.300049,470
2015-01-07,1219.199951,1219.199951,1210.599976,1210.599976,1210.599976,97
2015-01-08,1207.000000,1215.699951,1206.300049,1208.400024,1208.400024,29
2015-01-09,1211.099976,1220.199951,1210.300049,1216.000000,1216.000000,92
2015-01-11,null,null,null,null,null,null
2015-01-12,1224.199951,1234.400024,1219.099976,1232.699951,1232.699951,43
2015-01-13,1239.199951,1239.300049,1230.300049,1234.300049,1234.300049,100
2015-01-14,1229.599976,1243.800049,1225.599976,1234.400024,1234.400024,20
2015-01-15,1231.500000,1265.000000,1227.300049,1264.699951,1264.699951,21
2015-01-16,1256.099976,1279.699951,1256.099976,1276.900024,1276.900024,130
2015-01-18,null,null,null,null,null,null
2015-01-20,1278.900024,1297.300049,1273.800049,1294.199951,1294.199951,44
2015-01-21,1295.199951,1303.500000,1286.699951,1293.699951,1293.699951,157
2015-01-22,1293.199951,1302.099976,1283.500000,1300.699951,1300.699951,78
2015-01-23,1299.800049,1299.800049,1292.599976,1292.599976,1292.599976,131
2015-01-25,null,null,null,null,null,null
2015-01-26,1289.500000,1290.599976,1279.400024,1279.400024,1279.400024,23
2015-01-27,1277.199951,1291.699951,1277.199951,1291.699951,1291.699951,26
2015-01-28,1285.900024,1286.800049,1285.900024,1285.900024,1285.900024,20
2015-01-29,1283.300049,1285.400024,1251.000000,1254.599976,1254.599976,180387
2015-01-30,1258.000000,1284.300049,1257.000000,1278.500000,1278.500000,67983
2015-02-01,null,null,null,null,null,null
2015-02-02,1284.099976,1284.099976,1266.000000,1276.199951,1276.199951,8626
2015-02-03,1273.500000,1284.699951,1255.300049,1259.699951,1259.699951,1654
2015-02-04,1262.000000,1271.599976,1256.800049,1263.800049,1263.800049,2380
2015-02-05,1271.800049,1272.599976,1257.800049,1262.000000,1262.000000,668
2015-02-06,1265.000000,1267.599976,1228.000000,1233.900024,1233.900024,133
2015-02-08,null,null,null,null,null,null
2015-02-09,1237.500000,1242.300049,1235.400024,1240.800049,1240.800049,432
2015-02-10,1237.500000,1245.000000,1231.199951,1231.599976,1231.599976,319
2015-02-11,1233.300049,1237.400024,1219.000000,1219.000000,1219.000000,231
2015-02-12,1217.900024,1229.800049,1217.900024,1220.099976,1220.099976,102
2015-02-13,1222.199951,1232.800049,1222.199951,1226.500000,1226.500000,99
2015-02-15,null,null,null,null,null,null
2015-02-17,1227.699951,1234.000000,1203.000000,1208.099976,1208.099976,65
2015-02-18,1207.099976,1210.199951,1197.800049,1199.699951,1199.699951,204
2015-02-19,1216.500000,1220.000000,1205.000000,1207.099976,1207.099976,147
2015-02-20,1206.500000,1213.099976,1199.099976,1204.400024,1204.400024,65
2015-02-22,null,null,null,null,null,null
2015-02-23,1201.300049,1203.300049,1191.599976,1200.300049,1200.300049,51
2015-02-24,1203.400024,1203.500000,1193.800049,1196.900024,1196.900024,268
2015-02-25,1204.300049,1204.599976,1201.000000,1201.000000,1201.000000,151
2015-02-26,1204.800049,1219.000000,1204.800049,1209.599976,1209.599976,570
2015-02-27,1207.699951,1217.800049,1204.500000,1212.599976,1212.599976,560
2015-03-01,null,null,null,null,null,null
2015-03-02,1214.300049,1222.699951,1204.900024,1207.699951,1207.699951,195
2015-03-03,1201.500000,1212.000000,1195.000000,1204.000000,1204.000000,124
2015-03-04,1204.800049,1206.900024,1198.000000,1200.599976,1200.599976,51
2015-03-05,1201.699951,1205.400024,1195.900024,1195.900024,1195.900024,27
2015-03-06,1195.000000,1195.699951,1163.699951,1164.099976,1164.099976,29
2015-03-08,null,null,null,null,null,null
2015-03-09,1169.400024,1174.199951,1166.300049,1166.400024,1166.400024,168
2015-03-10,1166.400024,1168.400024,1156.500000,1160.099976,1160.099976,45
2015-03-11,1162.000000,1162.000000,1147.699951,1150.699951,1150.699951,94
2015-03-12,1155.400024,1160.500000,1149.699951,1152.099976,1152.099976,74
2015-03-13,1158.199951,1159.199951,1152.599976,1152.599976,1152.599976,63
2015-03-15,null,null,null,null,null,null
2015-03-16,1159.699951,1162.300049,1150.099976,1153.300049,1153.300049,44
2015-03-17,1153.599976,1158.199951,1144.300049,1148.300049,1148.300049,56
2015-03-18,1148.699951,1174.300049,1147.000000,1151.400024,1151.400024,71
2015-03-19,1171.599976,1171.599976,1159.300049,1169.099976,1169.099976,112
2015-03-20,1171.000000,1185.400024,1171.000000,1184.800049,1184.800049,39
2015-03-22,null,null,null,null,null,null
2015-03-23,1181.599976,1188.000000,1181.199951,1188.000000,1188.000000,54
2015-03-24,1188.000000,1193.000000,1186.000000,1191.699951,1191.699951,5
2015-03-25,1192.500000,1199.199951,1192.500000,1197.300049,1197.300049,411
2015-03-26,1198.199951,1213.699951,1198.199951,1205.099976,1205.099976,11
2015-03-27,1197.000000,1199.800049,1196.300049,1199.800049,1199.800049,68
2015-03-29,null,null,null,null,null,null
2015-03-30,1198.000000,1198.500000,1181.599976,1184.800049,1184.800049,172260
2015-03-31,1185.800049,1190.099976,1178.199951,1183.099976,1183.099976,37990
2015-04-01,1182.900024,1208.199951,1181.000000,1208.099976,1208.099976,3409
2015-04-02,1204.000000,1205.699951,1194.800049,1200.900024,1200.900024,1632
2015-04-05,null,null,null,null,null,null
2015-04-06,1209.900024,1224.199951,1209.900024,1218.599976,1218.599976,1684
2015-04-07,1214.800049,1214.800049,1208.199951,1210.599976,1210.599976,343
2015-04-08,1208.900024,1211.400024,1197.599976,1203.099976,1203.099976,406
2015-04-09,1201.699951,1202.500000,1193.000000,1193.599976,1193.599976,236
2015-04-10,1195.800049,1209.599976,1195.800049,1204.599976,1204.599976,521
2015-04-12,null,null,null,null,null,null
2015-04-13,1208.099976,1208.099976,1198.300049,1199.300049,1199.300049,202
